English Terms,Spanish Terms,Dictionaries Used,Synonyms Used,Failed Words
"bioreactor, engineering, point","bioreactor, sala de máquinas , indicar","None, Github, Github",,bioreactor
"view, bioreactor, engineering, point","ver, bioreactor, sala de máquinas , indicar","Github, None, Github, Github",,bioreactor
biooxidation,biooxidation,None,,biooxidation
"sulfide, mineral, biooxidation","sulfuro , mineral, biooxidation","Github, Github, None",,biooxidation
bioreactor,bioreactor,None,,bioreactor
advantage,ventaja ,Github,,
view,ver,Github,,
"soluble, protein","soluble, proteína","Github, Github",,
"structural, genomic, soluble, protein, engineering","estructural, genomic, soluble, proteína, sala de máquinas ","Github, None, Github, Github, Github",,genomic
"structural, genomic","estructural, genomic","Github, None",,genomic
genomic,genomic,None,,genomic
"structural, genomic, soluble, protein","estructural, genomic, soluble, proteína","Github, None, Github, Github",,genomic
VOLUME,VOLUME,None,,VOLUME
"nature, biotechnology","naturaleza , biotecnologia","Github, Github",,
nature,naturaleza ,Github,,
"soluble, protein","soluble, proteína","Github, Github",,
"20, VOLUME","20, VOLUME","None, None",,"20, VOLUME"
biotechnology,biotecnologia,Github,,
"structural, genomic","estructural, genomic","Github, None",,genomic
"nature, biotechnology, engineering, soluble, protein","naturaleza , biotecnologia, sala de máquinas , soluble, proteína","Github, Github, Github, Github, Github",,
protein,proteína,Github,,
genomic,genomic,None,,genomic
loop,ojete ,Github,loop->eyelet,
"hexamer, monomer","hexamer, monómero","None, Github",,hexamer
asurface,asurface,None,,asurface
solvent,disolvente,Github,,
interface,interfase,Github,,
cell,célula,Github,,
"described, process, configuration","describir, proceso, configuración","Github, Github, Github",described->describe,
"yeast, crystal, structure","levadura, cristal, estructura ","Github, Github, Github",,
site,solar ,Github,,
validation,validación ,Github,,
docking,nalgas ,Github,docking->tail,
yeast,levadura,Github,,
"docking, procedure, validation","nalgas , procedimiento , validación ","Github, Github, Github",docking->tail,
"observed, structure","detectar, estructura ","Github, Github",observed->detect,
method,method,Github,,
structure,estructura ,Github,,
procedure,procedimiento ,Github,,
"active, site, enzyme","vivo, solar , enzima","Github, Github, Github",active->alive,
agreement,acuerdo ,Github,,
inhibitor,inhibidor,Mexican Laws,,
sugar,azúcar,Github,,
"product, substrate, presence","producto , presencia ","Github, Github",,
"easily, utilizable, sugar","fácilmente, azúcar","Github, Github",,
"cellulose, complex, substrate","celulosa, complex","Github, None",,complex
cellulase,cellulase,None,,cellulase
product,producto ,Github,,
"cellulose, complex, substrate, utilization","celulosa, complex, utilization","Github, None, None",,"complex, utilization"
enzyme,enzima,Github,,
"cellulase, production, regulation","cellulase, producción , reglamento ","None, Github, Github",,cellulase
"complex, substrate",complex,None,,complex
substrate,,,,
presence,presencia ,Github,,
production,producción ,Github,,
"large, subunit",grande,Github,,
furiosus,furiosus,None,,furiosus
ability,habilidad ,Github,,
cytometry,cytometry,None,,cytometry
"differential, epifluorescent, interference, contrast","diferencial , epifluorescent, intervención, contrastar","Github, None, Github, Github",interference->intervention,epifluorescent
"enumeration, detection","señal (de un contador Geiger), detección ","Github, Github",enumeration->count,
laser,láser,Github,,
microscopy,microscopia ,Github,,
contrast,contrastar,Github,,
application,solicitud ,Github,,
interference,intervención,Github,interference->intervention,
"laser, scanning, cytometry","láser, escanear, cytometry","Github, Github, None",scanning->scan,cytometry
"turbidity, value",valor,Github,,
form,formar,Github,,
water,agua,Github,,
"water, sample","agua, samplear","Github, Github",,
"water, 100-l, sample","agua, 100-l, samplear","Github, None, Github",,100-l
protein,proteína,Github,,
"potential, function","voltaje , fungir","Github, Github",potential->voltage,
"good, solvent","bien , disolvente","Github, Github",,
"1953, flory, good, solvent","1953, bien , disolvente","None, Github, Github",,1953
behavior,behavior,None,,behavior
"polypeptide, chain","polipéptido, cadena","Mexican Laws, Github",,
solvent,disolvente,Github,,
degenne,degenne,None,,degenne
chain,cadena,Github,,
"bacterial, cel, long, axis, midpoint","bacteriano, cel, desear, axis , punto medio ","Github, None, Github, Github, Github",,cel
"SPR, base, competition","SPR, base, competición ","None, Github, Github",,SPR
cell,célula,Github,,
ANTI-V,ANTI-V,None,,ANTI-V
"COL-1, variant, reactivity","COL-1, variante ","None, Github",,COL-1
"COL-1, variant","COL-1, variante ","None, Github",,COL-1
region,región ,Github,,
chip,desconchar,Github,,
"flow, cell","fluir, célula","Github, Github",,
"sensor, chip",desconchar,Github,,
"competition, experiment","competición , experimentar","Github, Github",,
hucol-1,hucol-1,None,,hucol-1
variant,variante ,Github,,
experiment,experimentar,Github,,
"ANTI-V, region","ANTI-V, región ","None, Github",,ANTI-V
"CM5, sensor, chip","CM5, desconchar","None, Github",,CM5
competition,competición ,Github,,
"recently, develop, SPR, base, competition","recientemente, desarrollar, SPR, base, competición ","Github, Github, None, Github, Github",,SPR
sensor,,,,
"work, volume, 500, ml.","trabajar, volumen , 500, ml.","Github, Github, None, None",,"500, ml."
ml.,ml.,None,,ml.
bar,barrar,Github,,
diameter,diámetro ,Github,,
height,altura,Github,,
"500, ml.","500, ml.","None, None",,"500, ml."
"inner, diameter","interior , diámetro ","Github, Github",inner->interior,
"10, cm","10, cm","None, Chemical Element",,10
"25, cm","25, cm","None, Chemical Element",,25
slurry,mezcla,Mexican Laws,,
"25, cm, total, height","25, cm, total , altura","None, Chemical Element, Github, Github",,25
"total, height","total , altura","Github, Github",,
stainle,stainle,None,,stainle
stir,revolver,Github,,
volume,volumen ,Github,,
"slurry, bioreactor","mezcla, bioreactor","Mexican Laws, None",,bioreactor
"teflon, cover, stir, bar","esconder, revolver, barrar","Github, Github, Github",,
"stir, bar","revolver, barrar","Github, Github",,
"new, spectrophotometric, method","nuevo, spectrophotometric, method","Github, None, Github",,spectrophotometric
"sulfosalicyllic, acid","sulfosalicyllic, ácido","None, Github",,sulfosalicyllic
cell,célula,Github,,
group,grupo,Github,,
flo,flo,None,,flo
"24-well, plate","24-well, chapar","None, Github",,24-well
"blood, donor","sangre, dador","Github, Github",,
"AB, blood, group, donor, pool","AB, sangre, grupo, dador, reunir","None, Github, Github, Github, Github",,AB
plate,chapar,Github,,
"blood, donor, HLA, typing","sangre, dador, HLA, escribir a máquina","Github, Github, None, Github",typing->type,HLA
typing,escribir a máquina,Github,typing->type,
"blood, group","sangre, grupo","Github, Github",,
"HLA, typing","HLA, escribir a máquina","None, Github",typing->type,HLA
"AB, blood, group, donor","AB, sangre, grupo, dador","None, Github, Github, Github",,AB
rad,rad,Mexican Laws,,
fig,higuera ,Github,,
"HLA, transfectant","HLA, transfectant","None, None",,"HLA, transfectant"
"man, E4, docking","hombre , E4, nalgas ","Github, None, Github",docking->tail,E4
"yeast, human","levadura, humano ","Github, Github",,
mannosidase,mannosidase,None,,mannosidase
ray,semirrecta ,Github,,
recognition,reconocimiento,Github,recognition->acknowledgment,
"structural, information","estructural, información ","Github, Github",,
"energetic, information","enérgico, información ","Github, Github",,
"careful, interpretation","cuidadoso, apreciación ","Github, Github",,
"biomolecular, recognition","biomolecular, reconocimiento","None, Github",recognition->acknowledgment,biomolecular
"detailed, energetic, information","detallado , enérgico, información ","Github, Github, Github",,
interpretation,apreciación ,Github,,
"x, ray","x, semirrecta ","None, Github",,x
"autodock, supply, detailed, energetic, information","autodock, proveer, detallado , enérgico, información ","None, Github, Github, Github, Github",,autodock
information,información ,Github,,
crystallography,cristalografía,Mexican Laws,,
"microbial, physiology, thought, central, body","microbiano, fisiología , pensamiento , central, cuerpo","Github, Github, Github, Github, Github",,
concentration,concentración,Github,,
"most, model","la mayoría de, modelo","Github, Github",,
reaction,reacción de Refor­matskii,Github,,
proportionality,proporción ,Github,proportionality->proportion,
enzyme,enzima,Github,,
"enzymatic, catalysis, rate, most, model","catálisis, rate, la mayoría de, modelo","Github, None, Github, Github",,rate
"reaction, rate","reacción de Refor­matskii, rate","Github, None",,rate
sugar,azúcar,Github,,
burden,gravar,Github,,
context,contexto ,Github,,
saving,economía ,Github,saving->economy,
CBP,CBP,None,,CBP
setting,poniente,Github,,
microorganism,microorganismo,Github,,
"industrial, setting","industrial, poniente","Github, Github",,
"several, factor","varios, factor","Github, Github",,
process,proceso,Github,,
"cost, effective, implementation","costar, eficiente, implementación ","Github, Github, Github",effective->efficient,
implementation,implementación ,Github,,
fundamental,fundamental,Github,,
term,término ,Github,,
"cellulose, hydrolysis","celulosa, hidrólisis","Github, Github",,
context,contexto ,Github,,
"cellulase, hydrolysis, enzyme, system","cellulase, hidrólisis, enzima, sistema ","None, Github, Github, Github",,cellulase
hydrolysis,hidrólisis,Github,,
paradigm,paradigma,Github,,
DMJ,DMJ,None,,DMJ
"1953, flory, good, solvent, chain","1953, bien , disolvente, cadena","None, Github, Github, Github",,1953
peptide,péptido,Github,,
RFCL,RFCL,None,,RFCL
"PCNA, dependent, primer, extension, ability","PCNA, dependiente , abecé , extensión , habilidad ","None, Github, Github, Github, Github",,PCNA
"extension, ability","extensión , habilidad ","Github, Github",,
terminus,terminación ,Github,terminus->termination,
"concentration, depe","concentración, depe","Github, None",,depe
"c, RFCL, large, subunit, terminus","c, RFCL, grande, terminación ","Chemical Element, None, Github, Github",terminus->termination,RFCL
box,encajonar,Github,,
PIP,PIP,None,,PIP
"binding, motif","esconder, motivo ","Github, Github",binding->cover,
"PCNA, binding, motif","PCNA, esconder, motivo ","None, Github, Github",binding->cover,PCNA
sequence,secuencia ,Github,,
primer,abecé ,Github,,
depe,depe,None,,depe
"primer, extension, ability","abecé , extensión , habilidad ","Github, Github, Github",,
subunit,,,,
"PIP, box, PCNA, binding, motif","PIP, encajonar, PCNA, esconder, motivo ","None, Github, None, Github, Github",binding->cover,"PIP, PCNA"
region,región ,Github,,
sample,samplear,Github,,
"20-l, river, water, sample","20-l, río , agua, samplear","None, Github, Github, Github",,20-l
"typical, turbidity, value","típico, valor","Github, Github",,
"paris, region","paris , región ","Github, Github",,
site,solar ,Github,,
"different, site","diferente, solar ","Github, Github",,
river,río ,Github,,
value,valor,Github,,
"100-l, sample","100-l, samplear","None, Github",,100-l
"human, consumption, water, 100-l, sample","humano , consumo , agua, 100-l, samplear","Github, Github, Github, None, Github",,100-l
"human, consumption","humano , consumo ","Github, Github",,
consumption,consumo ,Github,,
"river, water, sample","río , agua, samplear","Github, Github, Github",,
turbidity,,,,
"river, typical, turbidity, value","río , típico, valor","Github, Github, Github",,
"envirocheck, cartridge, cartridge, filtration","envirocheck, cartucho , cartucho , filtración","None, Github, Github, Mexican Laws",,envirocheck
filtration,filtración,Mexican Laws,,
"mechanical, shaker",mecánico,Github,,
"1997, heerman, binder, 1976, degenne","1997, heerman, aglutinante, 1976, degenne","None, None, Github, None, None",,"1997, heerman, 1976, degenne"
"IPL-41, medium","IPL-41, médium","None, Github",,IPL-41
medium,médium,Github,,
calf,cría ,Github,,
"cell, line","célula, línea ","Github, Github",,
"27, c","27, c","None, Chemical Element",,27
frugiperda,frugiperda,None,,frugiperda
"spodoptera, frugiperda",frugiperda,None,,frugiperda
"sigma, aldrich, IPL-41, medium","sigma , aldrich, IPL-41, médium","Github, None, None, Github",,"aldrich, IPL-41"
sf9,sf9,None,,sf9
transf,transf,None,,transf
peptide,péptido,Github,,
"z, ring, positioning","z, llamar por teléfono, ubicación ","None, Github, Github",positioning->location,z
"coli, cell, division","coli, célula, división ","None, Github, Github",,coli
cell,célula,Github,,
protein,proteína,Github,,
"subcellular, protein, dynamic","subcellular, proteína, dinámico","None, Github, Github",,subcellular
"protein, dynamic","proteína, dinámico","Github, Github",,
"coli, cell","coli, célula","None, Github",,coli
"long, axis","desear, axis ","Github, Github",,
dynamic,dinámico,Github,,
ring,llamar por teléfono,Github,,
study,estudiar,Github,,
"escherichia, coli, cell, division","coli, célula, división ","None, Github, Github",,coli
